OBJECTID,label,GlobalID,value,SHAPElen
2,S,{CDB0A7F8-804A-4FE2-AAED-B0E6BEFA72CC},123446.2192,1829.11227581925
3,S,{067A767B-0BB6-4A5D-9C96-FFD555257DF9},2174128.4419,7547.70645538774
4,S,{4FDACF87-E692-4C70-80FC-93C2A80B0DD9},1486402.83055,7346.2752857602
5,SG,{DF07BC0E-62AF-4F81-A48B-6BA609071ADE},564721.5901,3614.59116229604
6,S,{4F4187DC-698E-42A0-BCC0-2FF90F07098C},941505.58825,5230.65032475346
7,S,{3C9F3ECF-EA0B-4D6D-ADB5-61FB60550D64},2285107.4965,8912.69469474038
8,SG,{D7630CF0-C9D9-4244-AFAB-C31CC43D9605},107481.5054,1322.12684781743
9,SG,{194D4336-FF0F-47BB-8332-E82B0DCFC4EF},107973.59915,1421.13343875982
10,SG,{F947F106-B9BB-475E-8C3E-54B91EEAF406},259717.11095,2164.17056261723
11,SG,{7319C23A-E9C7-4285-A553-80E827B7EF03},155392.8577,1694.17312382822
12,SG,{3B885D82-9B73-44FC-9C40-68F34E13F7AB},55657.92825,897.118065440011
13,SG,{2E0083DD-4459-4188-8D76-E17C44D02462},672474.65605,5284.13485555095
14,SG,{F5D077B9-3A89-41BC-8C09-F570C2A573C6},202071.5133,2205.96083626069
15,SG,{AE1CA9B4-3821-4B6C-A75D-1B256A7FD2C0},143023.53695,1784.94259009899
16,SG,{1DD3454A-902F-4046-8708-3F708DB94402},10294534.9918,29229.9869870303
17,S,{607040DE-D92C-45C8-A770-191F3A828680},2002915.50365,14114.4416326238
19,SG,{2DA5923C-3576-426E-9CC0-B5A3DE066866},232352.83705,2297.73140372003
20,S,{346BE0B2-7E61-40E2-A3BE-F5E340AF30A6},315777.7339,2447.45504232856
21,SG,{14E017E9-CCD5-458B-9FC5-54541CF6A259},201517.99475,1890.93852620637
22,SG,{2D66D1B4-0830-49F5-9CA7-6020F3552FD0},1016619.17535,4963.43775693753
23,S,{2BD32879-2C74-448F-80AD-52551C01CA5E},372038.41075,3542.98023411082
24,SG,{EE30371B-9A17-402E-8BE4-34B24BC82B69},125641.32725,1341.06955443
25,SG,{A3A02541-D203-4763-B457-7BC509A3D1F0},206913.3875,2080.95000883098
26,SG,{338386B1-7C21-41D0-875F-D524A7C0A9FD},454856.0611,4506.61574857179
27,SG,{3843C918-4826-43F0-B0F2-908B676B3220},65273385.53485,244891.420605742
28,SG,{131757A1-0EF8-4E74-A0BC-75AA9B394545},163780.27535,1598.4570840012
29,SG,{0D587475-92D0-4AD3-94CC-B8A5CB1EFE1C},302421.9223,2592.20878420101
30,S,{6E401E53-F81B-4311-BD78-E85E85A63B74},1750432.0619,9885.42599453313
31,SG,{51EF33B0-0693-4F81-A21C-482DD1A57C1D},694161.85815,3587.12095315685
32,SG,{E18F9927-54C1-4B40-8590-F20BC83C9560},277831.7101,2795.05116104473
33,SG,{1A69A977-B3D6-4AC3-9593-B4630D15CE7D},374462.2642,2679.8196477828
34,S,{E81D418D-B0F9-4D4B-9846-41055A02CB1C},112734.98235,1413.29109799
35,SG,{B78F9595-AEAD-4B2F-93EB-F9982B9DA9C0},66453.62105,1100.36985793982
36,SG,{5FFB3109-95C7-4A18-A9CC-3A193DCB1D1E},467856.1799,3858.88145876096
37,S,{6C4B7836-F0E2-4423-AD92-B8700B2B5606},291319.92185,4017.24186616018
38,SG,{3058E0AC-0083-43DB-B9DA-DE0553187FD9},105117.6865,1252.76692022234
39,S,{BDA62203-75C8-495E-B485-A3201023AA8E},257427.62735,3363.55601843566
40,SG,{FE6FFEA3-444B-4CCC-9C47-3E4770BE0385},232248.1118,2887.81509605773
41,SG,{253D63FA-0F52-487A-ACC3-0E510041AD91},788075.1885,6700.15519720275
42,S,{52B5B08B-51B6-4DB7-B0AD-B281601A830D},588868.3677,3523.71011470201
43,S,{BCCF410F-2B07-4E51-A38A-05167E0BD67D},5523942.5493,28670.8559600504
44,SG,{052FCEA7-EF9D-4B5E-8051-1AEDD2CE5FDB},64555.89705,981.499724745711
45,S,{0A6D4F88-94C2-4BDD-B4DA-EE2FD8253FF8},300980.9202,2291.36298276019
46,SG,{9B032EF7-06AB-46EF-BA01-DBCC74902270},50948.9396,930.048982368799
47,SG,{43039BF1-AAD9-4286-8CBF-C0336D600C9B},2397373.7052,11309.7634315869
48,SG,{3D839C75-B451-43E2-A465-AB7BD4A7B461},155357.6228,1512.63427657709
49,S,{01AFD484-BD40-4C86-8F1F-458AB0574B94},229462.7013,3106.40584518941
50,S,{108E4135-0B17-48DF-B514-8A8B6004C8E9},624576.7003,3501.33133315871
